file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,95,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,1,23
style.css,96,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,0,0
style.css,97,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,0,0
style.css,98,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,0,6
style.css,99,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,1,25
style.css,100,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,1,17
style.css,101,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,0,0
style.css,102,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,0,0
style.css,103,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,0,11
style.css,104,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,1,17
style.css,105,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,1,23
style.css,106,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,0,0
style.css,107,css,c2669f05,Marianne Sawires,2025-10-08,21:27:04,-07:00,2025-10-08T21:27:04-07:00,0,0
style.css,108,css,dd63ae05,Marianne Sawires,2025-10-13,14:01:03,-07:00,2025-10-13T14:01:03-07:00,0,4
style.css,109,css,dd63ae05,Marianne Sawires,2025-10-13,14:01:03,-07:00,2025-10-13T14:01:03-07:00,1,23
style.css,110,css,dd63ae05,Marianne Sawires,2025-10-13,14:01:03,-07:00,2025-10-13T14:01:03-07:00,1,23
style.css,111,css,dd63ae05,Marianne Sawires,2025-10-13,14:01:03,-07:00,2025-10-13T14:01:03-07:00,1,16
style.css,112,css,5755e9dc,Marianne Sawires,2025-10-13,14:11:35,-07:00,2025-10-13T14:11:35-07:00,0,0
style.css,113,css,5755e9dc,Marianne Sawires,2025-10-13,14:11:35,-07:00,2025-10-13T14:11:35-07:00,0,0
style.css,114,css,5755e9dc,Marianne Sawires,2025-10-13,14:11:35,-07:00,2025-10-13T14:11:35-07:00,0,13
style.css,115,css,5755e9dc,Marianne Sawires,2025-10-13,14:11:35,-07:00,2025-10-13T14:11:35-07:00,1,17
style.css,116,css,5755e9dc,Marianne Sawires,2025-10-13,14:11:35,-07:00,2025-10-13T14:11:35-07:00,1,8
style.css,117,css,5755e9dc,Marianne Sawires,2025-10-13,14:11:35,-07:00,2025-10-13T14:11:35-07:00,1,10
style.css,118,css,5755e9dc,Marianne Sawires,2025-10-13,14:11:35,-07:00,2025-10-13T14:11:35-07:00,1,13
style.css,119,css,5755e9dc,Marianne Sawires,2025-10-13,14:11:35,-07:00,2025-10-13T14:11:35-07:00,1,19
style.css,120,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,0,0
style.css,121,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,0,0
style.css,122,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,0,24
style.css,123,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,0,14
style.css,124,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,17
style.css,125,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,0,0
style.css,126,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,0,0
style.css,127,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,0,17
style.css,128,css,48ec89c1,Marianne Sawires,2025-10-20,15:01:53,-07:00,2025-10-20T15:01:53-07:00,1,12
style.css,129,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,51
style.css,130,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,10
style.css,131,css,9c6f238f,Marianne Sawires,2025-10-20,15:51:30,-07:00,2025-10-20T15:51:30-07:00,1,15
